Simulación,Start Date,End Date,Rendimiento Anual Promedio,Desviación Estándar Anual,Downside Risk,CAGR,Rendimiento Efectivo,Sortino Ratio
92,2011-03-11,2016-03-11,0.100320743657703,0.15773322329267417,0.11991711568178601,0.09181932518502878,0.5504262090836378,0.4863421149359851
93,2015-05-01,2020-05-01,0.07698942501652148,0.18924516025744414,0.1658770834552722,0.060750710404728236,0.3426568017160678,0.2109358585747993
94,2016-08-16,2021-08-16,0.16279252348531287,0.1907388658107775,0.17117716817181308,0.15539903612334194,1.0566582474958253,0.7056579144017127
95,2010-12-08,2015-12-08,0.11575013003289403,0.15346909083346072,0.11845073425382906,0.10952439201767494,0.6800648375533067,0.622622818655174
96,2011-05-11,2016-05-11,0.09867131045719248,0.15729033828644312,0.11966119698593182,0.09009684631729065,0.538254074672565,0.47359805755457335
97,2010-06-28,2015-06-28,0.1459448376062303,0.15187774460455977,0.11639978203470534,0.14380278067271135,0.9556567699401002,0.8929985588395559
98,2016-03-12,2021-03-12,0.15242474699650455,0.19098717381324232,0.17141447401741713,0.1434322864200579,0.952496513878514,0.6441973329818371
99,2019-04-25,2024-04-25,0.13192380498815798,0.21274532686031317,0.17251872844353358,0.1153439401793559,0.7252654687394666,0.5212408287462573
100,2016-07-08,2021-07-08,0.15997048650911666,0.19035273271533862,0.1708041333190761,0.15222972190177253,1.0286492428419303,0.6906770007066406
101,2019-09-02,2024-09-02,0.1558704108502606,0.2121857788114559,0.1729377800848509,0.14249852101816574,0.9435220624320295,0.6584472796770651
102,2017-02-03,2022-02-03,0.15252968521242,0.19401130047897686,0.1727596239224507,0.14288862990738527,0.9488992407413548,0.6397888737129641
103,2019-11-28,2024-11-28,0.15250341402324585,0.21284977822993817,0.17284255109257168,0.13850018088526372,0.9098307762788627,0.6393299180365719
104,2012-11-07,2017-11-07,0.13123158967611026,0.12024610546442022,0.0903246843956169,0.13197950716633544,0.8577153866556255,0.9878981617614189
105,2010-10-30,2015-10-30,0.1245971716417051,0.15364949177375944,0.11870259756986207,0.11934883377622652,0.7556528300455525,0.6958328910459839
106,2013-04-22,2018-04-22,0.115101602514941,0.1249972717564586,0.09757015392859043,0.11321683614205513,0.7088895312500001,0.7492209407442622
107,2012-04-13,2017-04-13,0.11431043588223086,0.12676061436993843,0.09200776144358937,0.11210214909642846,0.6996408963071383,0.7859166960231383
108,2019-12-28,2024-12-28,0.14661411931664414,0.21335969763322657,0.17315196189834656,0.13169408196177024,0.853555492161677,0.6041751890634691
109,2011-10-26,2016-10-26,0.11828830316444479,0.13660710681381377,0.09865316154121351,0.11509120435222608,0.7225683829634661,0.7732981079635696
110,2013-06-19,2018-06-19,0.11349269130000303,0.1242979009014639,0.09724887626222216,0.11152502903174222,0.6959537836489949,0.7351518500556234
111,2015-02-14,2020-02-14,0.10423859132327937,0.13333705825777048,0.10735496890513321,0.10000645018428855,0.6093393310909354,0.5797457906049788
112,2016-05-14,2021-05-14,0.15932769947335076,0.19166053852542486,0.171858566091785,0.1511996023608022,1.0196114867279404,0.6826991644436811
113,2014-02-06,2019-02-06,0.09540284240510633,0.13300399331189894,0.10505242418245994,0.0903867892902146,0.5402976292783168,0.5083446938107186
114,2015-12-08,2020-12-08,0.13577290079836354,0.19307181081152014,0.1720580386941301,0.12410993498289224,0.7940820813809937,0.5450073795451365
115,2017-11-26,2022-11-26,0.11118189795587077,0.217078388753931,0.18037044355061432,0.09142918723931603,0.547662522045127,0.3835545147753513
116,2013-08-15,2018-08-15,0.11347644999683379,0.12368702674089443,0.09628636206590346,0.11159200327002017,0.6964643827234924,0.7423320235934506
117,2010-09-22,2015-09-22,0.11954213611220983,0.15302001890129838,0.11832783872629399,0.11381531585123184,0.7127516486723773,0.6553160857739808
118,2013-08-11,2018-08-11,0.11118197676197913,0.12379550884595816,0.09644862021543761,0.10903045934699218,0.6770230181230852,0.7172935870668457
119,2019-01-26,2024-01-26,0.14588105281295377,0.2122081194426682,0.1735620796978985,0.13114058502682302,0.8499423318967865,0.5985238998850944
