Simulación,Start Date,End Date,Metodología,Rendimiento Anual Promedio,Desviación Estándar,Rendimiento Efectivo,Downside Risk,CAGR,Sortino ratio
161,2014-10-24,2019-10-24,MinVar,0.17474557485631226,0.11730634470890955,1.3265026046176729,0.08573470283220135,0.18399740296578404,1.548329561672592
161,2014-10-24,2019-10-24,MaxSharpe,0.1489961926245598,0.1345883205284905,1.0215392065333764,0.10124964139565738,0.1511841568327792,1.0567562625377247
162,2012-11-29,2017-11-29,SVR-CPO,0.18997664812504772,0.137781011113934,1.4805132605885665,0.10105407149880802,0.1992759210744186,1.4643313815098797
162,2012-11-29,2017-11-29,XGBoost-CPO,0.18678275852711268,0.13363298416553596,1.4482264601202774,0.09056025411576409,0.19613711164478853,1.5987450558832952
162,2012-11-29,2017-11-29,EqualWeight,0.20847155671108006,0.12731742980657226,1.741816361702222,0.08939745209686735,0.22354421283819925,1.8621510211577217
162,2012-11-29,2017-11-29,MinVar,0.14972008838425976,0.10901939189295182,1.0622933108047339,0.07648579619787924,0.15578936569243496,1.4083672229229742
162,2012-11-29,2017-11-29,MaxSharpe,0.20415447585294008,0.17207805150095196,1.5943222078613464,0.11378677928446519,0.21008567438945058,1.4250730785476966
163,2011-11-02,2016-11-02,SVR-CPO,0.1308507426147628,0.1569417158994122,0.8153619922759314,0.10857077288058097,0.12660425289700483,0.8183670453602774
163,2011-11-02,2016-11-02,XGBoost-CPO,0.14126817455178403,0.16223104037010094,0.9049532559854034,0.11031571503175981,0.1375064964881536,0.8998552429561354
163,2011-11-02,2016-11-02,EqualWeight,0.12608673816469887,0.15207065854016197,0.7791642346093739,0.10479723064716776,0.1220770111615781,0.8023755746733693
163,2011-11-02,2016-11-02,MinVar,0.11742550095423868,0.12029223941965178,0.7407999374611351,0.08153032758203131,0.11719763216119539,0.9251220152200381
163,2011-11-02,2016-11-02,MaxSharpe,0.19311364965477915,0.19121249602392498,1.410676808375332,0.12511836471449223,0.19232986922628892,1.2077655426491993
164,2014-07-09,2019-07-09,SVR-CPO,0.16018126760700044,0.14959424496574833,1.1157097904906923,0.11332283940151129,0.161716428144707,1.042872453877328
164,2014-07-09,2019-07-09,XGBoost-CPO,0.19238360355015985,0.14347717947217534,1.4989844750440526,0.10301763197481557,0.20105695728372175,1.459785093749036
164,2014-07-09,2019-07-09,EqualWeight,0.16665186393791512,0.14118325688857591,1.1992083157245026,0.105909639074292,0.1707459007745682,1.1769642973712342
164,2014-07-09,2019-07-09,MinVar,0.16690210253926596,0.12444628759407618,1.2267281050411798,0.0937702338157852,0.17366176898908026,1.3320016113497206
164,2014-07-09,2019-07-09,MaxSharpe,0.1683296696061218,0.158952670239181,1.1883735393159705,0.1168218364391138,0.16958988650690765,1.0813874653645201
165,2018-08-20,2023-08-20,SVR-CPO,0.16154303145558213,0.23905073867977844,0.9505745472159264,0.1804791745130824,0.14298480241213052,0.6623646843360135
165,2018-08-20,2023-08-20,XGBoost-CPO,0.180138260311041,0.23807689024934495,1.142233220551761,0.19691971943654368,0.1646150815524441,0.7014953134521161
165,2018-08-20,2023-08-20,EqualWeight,0.1530428461738604,0.2322557688472424,0.8826054374441443,0.19366050607485227,0.13490467570754294,0.5733892181968218
165,2018-08-20,2023-08-20,MinVar,0.15200091950993636,0.18178783404167614,0.9753258133249767,0.15147773235668127,0.14587130274772342,0.7261854121958969
165,2018-08-20,2023-08-20,MaxSharpe,0.1903571608647721,0.24573611142828808,1.2339072000095883,0.20201254905691593,0.1744176885460771,0.7343957667846331
166,2012-04-02,2017-04-02,SVR-CPO,0.19787010089636511,0.14479252090153202,1.564316192069266,0.10838431095649441,0.2072730709310484,1.4381242037782715
166,2012-04-02,2017-04-02,XGBoost-CPO,0.19170942814101258,0.14763498086852847,1.4808755763323442,0.11212730390904016,0.19931095823040113,1.33517370811359
166,2012-04-02,2017-04-02,EqualWeight,0.19994822996044972,0.135224031239028,1.6088984319004571,0.09983690670892217,0.2114425901198378,1.5820625374637562
166,2012-04-02,2017-04-02,MinVar,0.1692338577528554,0.11766343107470421,1.2610421141812926,0.082316847192784,0.17725740834569526,1.5456599966089188
166,2012-04-02,2017-04-02,MaxSharpe,0.19335178523955668,0.13968882395744892,1.5163091344955868,0.0933305985875927,0.20271789459272638,1.6216737868396922
167,2018-07-05,2023-07-05,SVR-CPO,0.16381399423656373,0.21760466706367518,1.021497009113741,0.17192944261293258,0.15117935019265372,0.7085115404625922
